epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3360.4,0.63606,0.82195,1.0631,0.78144,0.87665,0.87716,0.77706,0.46424,0.58372,0.98954,0.000742625,0.000742625,0.000742625
43,3438.14,0.61737,0.80137,1.05426,0.81264,0.85122,0.90686,0.80831,0.47006,0.58151,1.00923,0.00073025,0.00073025,0.00073025
44,3519.57,0.59843,0.7748,1.04391,0.77078,0.86822,0.88453,0.78661,0.46185,0.60882,1.0047,0.000717875,0.000717875,0.000717875
45,3598.3,0.61801,0.77898,1.06652,0.83225,0.83684,0.88711,0.79836,0.4363,0.59859,0.98037,0.0007055,0.0007055,0.0007055
46,3676.93,0.59781,0.77204,1.03786,0.86502,0.82179,0.89479,0.81411,0.42447,0.58404,0.97719,0.000693125,0.000693125,0.000693125
47,3757.18,0.59356,0.75899,1.03367,0.81445,0.8499,0.90108,0.80393,0.4444,0.59878,0.97908,0.00068075,0.00068075,0.00068075
48,3834.98,0.58267,0.74193,1.0295,0.72652,0.8955,0.90133,0.80786,0.45722,0.73233,1.0156,0.000668375,0.000668375,0.000668375
49,3913.37,0.57936,0.71174,1.03058,0.85314,0.86017,0.93856,0.85211,0.41846,0.52199,0.9637,0.000656,0.000656,0.000656
50,3994.32,0.59831,0.7135,1.03539,0.87801,0.90791,0.94919,0.86128,0.4268,0.47279,0.95915,0.000643625,0.000643625,0.000643625
51,4074.82,0.57651,0.69136,1.03872,0.90821,0.88689,0.94762,0.8601,0.40848,0.44054,0.95102,0.00063125,0.00063125,0.00063125
52,4152.86,0.59453,0.73316,1.04024,0.61148,0.82223,0.83476,0.71191,0.52344,1.0389,1.04547,0.000618875,0.000618875,0.000618875
53,4231.36,0.5962,0.71758,1.05091,0.86522,0.85781,0.9344,0.84006,0.43111,0.4965,0.99022,0.0006065,0.0006065,0.0006065
54,4309.44,0.55939,0.66737,1.02116,0.77041,0.84154,0.89054,0.78429,0.48529,0.6445,1.05231,0.000594125,0.000594125,0.000594125
55,4387.22,0.56502,0.66604,1.02568,0.85069,0.85349,0.93377,0.83829,0.42813,0.51575,0.97202,0.00058175,0.00058175,0.00058175
56,4465.47,0.55211,0.66471,1.01429,0.92001,0.86043,0.95687,0.87955,0.38949,0.42513,0.93776,0.000569375,0.000569375,0.000569375
57,4545.72,0.54559,0.64892,1.01576,0.88605,0.9003,0.96033,0.87674,0.39956,0.43402,0.94982,0.000557,0.000557,0.000557
58,4623.27,0.55047,0.63024,1.01181,0.87236,0.86198,0.93638,0.85043,0.41244,0.48967,0.96807,0.000544625,0.000544625,0.000544625
59,4701.37,0.53541,0.61323,1.01436,0.87663,0.88958,0.95366,0.87147,0.40542,0.43983,0.96985,0.00053225,0.00053225,0.00053225
60,4779.52,0.53288,0.61184,1.01039,0.92298,0.90428,0.96829,0.89235,0.38433,0.37254,0.94621,0.000519875,0.000519875,0.000519875
61,4859.46,0.53642,0.62489,1.00675,0.93566,0.89489,0.97323,0.89844,0.38659,0.36811,0.94606,0.0005075,0.0005075,0.0005075
62,4939.96,0.54191,0.60217,1.00686,0.8651,0.82513,0.93442,0.83925,0.4376,0.57368,0.97633,0.000495125,0.000495125,0.000495125
63,5018.74,0.52895,0.60475,1.01437,0.92001,0.92316,0.96838,0.89421,0.38821,0.37162,0.92515,0.00048275,0.00048275,0.00048275
64,5097.25,0.52469,0.57685,0.99912,0.94433,0.85713,0.96324,0.89352,0.36962,0.38129,0.91535,0.000470375,0.000470375,0.000470375
65,5175.18,0.51803,0.5968,0.99033,0.91249,0.925,0.96287,0.89578,0.35943,0.38516,0.91173,0.000458,0.000458,0.000458
66,5253.54,0.51391,0.55358,0.98155,0.94102,0.90841,0.97418,0.90564,0.37323,0.35564,0.92155,0.000445625,0.000445625,0.000445625
67,5336.19,0.51529,0.5799,0.99801,0.92768,0.91947,0.96942,0.89769,0.36919,0.35502,0.92318,0.00043325,0.00043325,0.00043325
68,5414.33,0.49694,0.54106,0.98266,0.93765,0.88077,0.96369,0.87369,0.42198,0.43153,0.9661,0.000420875,0.000420875,0.000420875
69,5491.98,0.50268,0.55154,0.9874,0.94646,0.93246,0.98088,0.9119,0.3685,0.31441,0.92706,0.0004085,0.0004085,0.0004085
70,5572.61,0.49991,0.53448,0.98615,0.93876,0.89828,0.97072,0.89903,0.36896,0.34837,0.92995,0.000396125,0.000396125,0.000396125
71,5650.94,0.49426,0.54125,0.98682,0.94668,0.92812,0.97156,0.90658,0.35294,0.33831,0.91611,0.00038375,0.00038375,0.00038375
72,5730.11,0.49472,0.53933,0.98518,0.94226,0.92413,0.97163,0.90084,0.3624,0.34732,0.92884,0.000371375,0.000371375,0.000371375
73,5807.96,0.48629,0.51053,0.98235,0.8965,0.89097,0.9519,0.87339,0.40169,0.43838,0.96501,0.000359,0.000359,0.000359
